YEAR,COUNTY,NUMBER_OF_ED_VISITS,AGE_ADJUSTED_ED_VISIT_RATE,AGE
2015,San Benito,103,73.4,child
2015,San Bernardino,7462,55.61509433962264,adult
2015,San Bernardino,4801,86.92444444444445,child
2015,San Diego,6819,28.904054054054054,adult
2015,San Diego,4489,62.61014492753624,child
2015,San Francisco,2157,32.20909090909091,adult
2015,San Francisco,804,73.87222222222222,child
2015,San Joaquin,2883,61.588,adult
2015,San Joaquin,1819,95.71818181818183,child
2015,San Luis Obispo,539,33.166666666666664,adult
2015,San Luis Obispo,281,72.10000000000001,child
2015,San Mateo,1800,33.37894736842105,adult
2015,San Mateo,771,55.38125,child
2015,Santa Barbara,998,33.13333333333333,adult
2015,Santa Barbara,643,68.28333333333333,child
2015,Santa Clara,4293,30.440425531914894,adult
2015,Santa Clara,1874,43.68780487804878,child
2015,Santa Cruz,547,27.625,adult
2015,Santa Cruz,290,59.75,child
2015,Shasta,641,45.9875,adult
2015,Shasta,259,73.7,child
2015,Siskiyou,101,50.25,adult
2015,Solano,2026,64.07000000000001,adult
2015,Solano,1020,109.26666666666667,child
2015,Sonoma,1234,37.12352941176471,adult
2015,Sonoma,539,53.449999999999996,child
2015,Stanislaus,1989,48.62105263157895,adult
2015,Stanislaus,1205,82.74444444444445,child
2015,Sutter,202,29.866666666666664,adult
2015,Sutter,103,44.199999999999996,child
2015,Tehama,180,49.76666666666667,adult
2015,Tehama,116,96.30000000000001,child
2015,Trinity,19,72.5,adult
2015,Tulare,1190,39.086666666666666,adult
2015,Tulare,1173,85.5875,child
2015,Tuolumne,151,59.3,adult
2015,Tuolumne,23,49.0,child
2015,Ventura,1599,27.009523809523813,adult
2015,Ventura,1236,60.973684210526315,child
2015,Yolo,522,40.871428571428574,adult
2015,Yolo,267,61.471428571428575,child
2015,Yuba,194,45.4,adult
2015,Yuba,113,63.900000000000006,child
2016,Alameda,5615,44.35217391304348,adult
2016,Alameda,3387,103.5675,child
2016,Amador,107,59.199999999999996,adult
2016,Amador,12,61.9,child
2016,Butte,523,35.2,adult
2016,Butte,202,51.699999999999996,child
2016,Calaveras,65,86.45,adult
2016,Calaveras,16,54.0,child
2016,Colusa,26,22.85,adult
2016,Contra Costa,3796,43.838235294117645,adult
2016,Contra Costa,2128,81.60740740740741,child
2016,Del Norte,91,52.6,adult
2016,Del Norte,63,135.7,child
2016,El Dorado,325,44.228571428571435,adult
2016,El Dorado,97,43.13333333333333,child
2016,Fresno,2762,42.800000000000004,adult
2016,Fresno,3904,141.26363636363635,child
2016,Glenn,59,35.75,adult
2016,Glenn,29,67.3,child
2016,Humboldt,506,64.2,adult
2016,Humboldt,120,62.4,child
2016,Imperial,531,43.0,adult
2016,Imperial,637,143.5,child
2016,Inyo,31,29.4,adult
2016,Inyo,30,104.3,child
2016,Kern,2662,50.53846153846154,adult
2016,Kern,2151,87.66956521739131,child
2016,Kings,500,55.67999999999999,adult
2016,Kings,474,106.64999999999999,child
2016,Lake,359,75.17777777777778,adult
2016,Lake,73,89.36666666666667,child
2016,Lassen,75,47.300000000000004,adult
2016,Lassen,21,57.3,child
2016,Los Angeles,29945,37.7062015503876,adult
2016,Los Angeles,20107,81.15065502183405,child
2016,Madera,344,32.720000000000006,adult
2016,Madera,570,121.4,child
2016,Marin,304,22.8,adult
2016,Marin,118,45.583333333333336,child
2016,Mariposa,32,41.4,adult
2016,Mariposa,16,87.4,child
