,year,County Name,county,city,particle,measurement,days_recorded,avg_val,variance,min_val,percentile_10,percentile_25,percentile_75,percentile_90,max_val
115,2023,San Mateo,San Mateo,Redwood City,Nitric oxide (NO),Parts per billion,359,7.223541604456824,68.98934276104761,-0.230435,0.5914287,1.3820157499999999,9.652174,18.6965216,53.286667
116,2023,Santa Barbara,Santa Barbara,Lompoc,Nitric oxide (NO),Parts per billion,365,0.49005201405975396,2.383696489230284,-1.391304,-0.5197144,-0.363636,0.66625025,1.73913,13.391304
117,2023,Santa Clara,Santa Clara,San Jose,Nitric oxide (NO),Parts per billion,365,11.49052572702332,141.2099660050452,0.033333,0.9798483000000001,3.3717390000000003,15.365267,27.7368184,72.734783
118,2023,Solano,Solano,Vallejo,Nitric oxide (NO),Parts per billion,326,5.9646799078341015,70.393064093103,-0.2125,0.354545,0.7955535,6.3727275,16.927273,48.004348
119,2023,Sonoma,Sonoma,Sebastopol,Nitric oxide (NO),Parts per billion,365,3.4303993287671233,14.344449541951443,0.182609,0.413043,0.76304375,4.64782625,8.556086700000003,22.869565
120,2023,Stanislaus,Stanislaus,Turlock,Nitric oxide (NO),Parts per billion,365,6.6185432109589035,54.26916135037197,0.15,0.43260840000000006,0.8181155,9.023913,16.100909100000003,42.791304
121,2023,Sutter,Sutter,Yuba City,Nitric oxide (NO),Parts per billion,361,5.9710231592797784,49.75960828859744,0.030435,0.4569568,0.930435,7.6652172499999995,16.086708399999992,41.952174
122,2023,Tulare,Tulare,Visalia,Nitric oxide (NO),Parts per billion,359,7.1535984930362115,38.98118827005927,-0.317391,0.7782809,3.2360325,9.739130249999999,16.318695800000004,39.13913
123,2023,Ventura,Ventura,Simi Valley,Nitric oxide (NO),Parts per billion,365,2.9057016035665293,12.947778504641757,0.0,0.043478,0.26087,4.434783,7.230434699999998,29.26087
124,2023,Yolo,Yolo,Not in a city,Nitric oxide (NO),Parts per billion,362,2.6340570276243094,6.2150427623899915,-0.152174,0.05478279999999997,0.53913,4.05896725,5.7383294000000005,16.313043
125,2023,Alameda,Alameda,Livermore,Ozone,Parts per million,365,0.02589670822555613,7.719917943035139e-05,0.0,0.013952800000000001,0.019941,0.032294,0.036706,0.0665
126,2023,Amador,Amador,Jackson,Ozone,Parts per million,364,0.027675013736263736,8.131945406317154e-05,0.005824,0.0136411,0.021353,0.033824,0.0383943,0.049
127,2023,Butte,Butte,Not in a city,Ozone,Parts per million,365,0.03769492596685083,0.00010424438221022095,0.007118,0.022223200000000002,0.032647,0.044471,0.049529,0.062706
128,2023,Calaveras,Calaveras,San Andreas,Ozone,Parts per million,365,0.030273153424657535,7.83237378005721e-05,0.006294,0.0183176,0.023588,0.036176,0.041623400000000005,0.051824
129,2023,Colusa,Colusa,Colusa,Ozone,Parts per million,224,0.03303914285714286,2.8864456320307505e-05,0.017091,0.0261472,0.02980925,0.03666175,0.039235,0.045
130,2023,Contra Costa,Contra Costa,Concord,Ozone,Parts per million,365,0.026924986832986834,6.350518956778769e-05,0.0,0.0156588,0.022059,0.032588,0.036941,0.057
